library,dataset,version,vkey,itr,category,energy,duration
Dask,Adult,2022.1.0,v2,10,Row/Column,0.225401,0.0270750522613525
Dask,Adult,2022.1.0,v2,10,Aggregation,0.487975,0.0597105026245117
Dask,Adult,2022.1.0,v2,10,Aggregation,0.205933,0.0226945877075195
Dask,Adult,2022.1.0,v2,10,Aggregation,0.222106,0.0243854522705078
Dask,Adult,2022.1.0,v2,10,Aggregation,0.215027,0.0226619243621826
Dask,Adult,2022.1.0,v2,10,Aggregation,0.201171,0.0224065780639648
Dask,Adult,2022.1.0,v2,10,Row/Column,0.200378,0.0225400924682617
Dask,Adult,2022.1.0,v2,10,I/O,0.059021,0.0063288211822509
Dask,Adult,2022.1.0,v2,10,I/O,1.915951,0.2034966945648193
Dask,Adult,2022.1.0,v2,10,I/O,2.941643,0.3279945850372314
Dask,Adult,2022.1.0,v2,10,I/O,2.759087,0.2929568290710449
Dask,Adult,2022.1.0,v2,10,Missing,0.008606,0.0014328956604003
Dask,Adult,2022.1.0,v2,10,Missing,0.034607,0.0048601627349853
Dask,Adult,2022.1.0,v2,10,Missing,0.06427,0.0071558952331542
Dask,Adult,2022.1.0,v2,10,Missing,0.01068,0.0015866756439208
Dask,Adult,2022.1.0,v2,10,Row/Column,0.031799,0.0041038990020751
Dask,Adult,2022.1.0,v2,10,Aggregation,0.004455,0.0007169246673583
Dask,Adult,2022.1.0,v2,10,Row/Column,0.119444,0.0145578384399414
Dask,Adult,2022.1.0,v2,10,Row/Column,0.026183,0.0039517879486083
Dask,Adult,2022.1.0,v2,10,Row/Column,0.217651,0.026036262512207
Dask,Adult,2022.1.0,v2,10,Aggregation,0.505552,0.0593268871307373
Dask,Adult,2022.1.0,v2,10,Aggregation,0.205809,0.0230336189270019
Dask,Adult,2022.1.0,v2,10,Aggregation,0.230041,0.0243308544158935
Dask,Adult,2022.1.0,v2,10,Aggregation,0.211424,0.0228087902069091
Dask,Adult,2022.1.0,v2,10,Aggregation,0.203734,0.0224101543426513
Dask,Adult,2022.1.0,v2,10,Row/Column,0.203429,0.0225529670715332
Dask,Adult,2022.1.0,v2,10,I/O,0.08319,0.006378173828125
Dask,Adult,2022.1.0,v2,10,I/O,1.911921,0.2024962902069091
Dask,Adult,2022.1.0,v2,10,I/O,2.986687,0.3287832736968994
Dask,Adult,2022.1.0,v2,10,I/O,2.73864,0.2944886684417724
Dask,Adult,2022.1.0,v2,10,Missing,0.007325,0.0014412403106689
Dask,Adult,2022.1.0,v2,10,Missing,0.041321,0.004857063293457
Dask,Adult,2022.1.0,v2,10,Missing,0.060486,0.0071301460266113
Dask,Adult,2022.1.0,v2,10,Missing,0.008667,0.0015895366668701
Dask,Adult,2022.1.0,v2,10,Row/Column,0.03241,0.0040552616119384
Dask,Adult,2022.1.0,v2,10,Aggregation,0.007263,0.0007312297821044
Dask,Adult,2022.1.0,v2,10,Row/Column,0.113464,0.0143756866455078
Dask,Adult,2022.1.0,v2,10,Row/Column,0.030212,0.0039348602294921
Dask,Adult,2022.1.0,v2,10,Row/Column,0.208129,0.0254526138305664
Dask,Adult,2022.1.0,v2,10,Aggregation,0.486755,0.0593128204345703
Dask,Adult,2022.1.0,v2,10,Aggregation,0.205016,0.022900104522705
Dask,Adult,2022.1.0,v2,10,Aggregation,0.222167,0.0243721008300781
Dask,Adult,2022.1.0,v2,10,Aggregation,0.206299,0.0224847793579101
Dask,Adult,2022.1.0,v2,10,Aggregation,0.211731,0.0229475498199462
